Owner:;bi4all;;;;;;;;;;;;;;;;;;;;;;
Table:;fac_employees;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
id_company_fk;company;id_employee_pk;flg_active;id_name_pk;name;id_lastname_pk;lastname;employee_name;id_gender_fk;gender;id_race_fk;race;birthday;id_schooling_fk;schooling;id_department_fk;department;id_role_fk;role;id_level_fk;level;salary;Queries
1;ACME Corporation;000001;TRUE;127;Enzo;0;de Orléans e Bragança;Enzo de Orléans e Bragança;M;Male;5;White;27/12/1977;10;Doctorate;5;Presidency;5;CEO;;;€ 29.000,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 1, TRUE, 'Enzo de Orléans e Bragança', 'M', 5, 'STR_TO_DATE('27/12/1977'), 10, 5, 5, NULL, 29000);"
1;ACME Corporation;000002;TRUE;72;Bernnardo;168;Rossi Chaves;Bernnardo Rossi Chaves;M;Male;5;White;24/06/1960;10;Doctorate;5;Presidency;6;Vice President;;;€ 25.000,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 2, TRUE, 'Bernnardo Rossi Chaves', 'M', 5, '24/06/1960', 10, 5, 6, NULL, 25000);"
1;ACME Corporation;000003;TRUE;13;Alessandra;30;Barbieri Moraes;Alessandra Barbieri Moraes;F;Female;5;White;26/08/1993;7;Undergraduate degree;5;Presidency;8;Bilingual Secretary;;;€ 8.500,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 3, TRUE, 'Alessandra Barbieri Moraes', 'F', 5, '26/08/1993', 7, 5, 8, NULL, 8500);"
1;ACME Corporation;000004;TRUE;300;Muricy;39;Bianchi Pimentel;Muricy Bianchi Pimentel;M;Male;5;White;17/12/1994;10;Doctorate;6;Administration;7;Director;;;€ 17.000,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 4, TRUE, 'Muricy Bianchi Pimentel', 'M', 5, '17/12/1994', 10, 6, 7, NULL, 17000);"
1;ACME Corporation;000005;TRUE;137;Fernanda;119;Marino De Luca;Fernanda Marino De Luca;F;Female;5;White;04/10/1984;10;Doctorate;7;Finance;7;Director;;;€ 17.000,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 5, TRUE, 'Fernanda Marino De Luca', 'F', 5, '04/10/1984', 10, 7, 7, NULL, 17000);"
1;ACME Corporation;000006;TRUE;30;Ana Clara;100;Gonçalves Barros;Ana Clara Gonçalves Barros;F;Female;5;White;16/05/1982;8;Graduate school;8;Human Resource;7;Director;;;€ 16.080,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 6, TRUE, 'Ana Clara Gonçalves Barros', 'F', 5, '16/05/1982', 8, 8, 7, NULL, 16080);"
1;ACME Corporation;000007;TRUE;355;Victor Hugo;71;Dantas Botelho;Victor Hugo Dantas Botelho;M;Male;5;White;16/12/1988;10;Doctorate;9;Commercial;7;Director;;;€ 17.080,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 7, TRUE, 'Victor Hugo Dantas Botelho', 'M', 5, '16/12/1988', 10, 9, 7, NULL, 17080);"
1;ACME Corporation;000008;TRUE;177;Isabelly;115;Madureira Almeida;Isabelly Madureira Almeida;F;Female;5;White;13/10/1987;8;Graduate school;10;Operations;7;Director;;;€ 16.000,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 8, TRUE, 'Isabelly Madureira Almeida', 'F', 5, '13/10/1987', 8, 10, 7, NULL, 16000);"
1;ACME Corporation;000009;TRUE;245;Luiz Henrique;53;Camargo Mancini;Luiz Henrique Camargo Mancini;M;Male;5;White;15/02/1980;9;Master’s degree;11;Communication & Marketing;7;Director;;;€ 16.580,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 9, TRUE, 'Luiz Henrique Camargo Mancini', 'M', 5, '15/02/1980', 9, 11, 7, NULL, 16580);"
1;ACME Corporation;000010;TRUE;160;Hector;44;Botelho Bispo;Hector Botelho Bispo;M;Male;5;White;17/06/1997;10;Doctorate;12;Controlling;7;Director;;;€ 17.000,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 10, TRUE, 'Hector Botelho Bispo', 'M', 5, '17/06/1997', 10, 12, 7, NULL, 17000);"
1;ACME Corporation;000011;TRUE;199;José Francisco;57;Cândido Farina;José Francisco Cândido Farina;M;Male;5;White;02/04/1995;10;Doctorate;13;Audit;7;Director;;;€ 17.000,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 11, TRUE, 'José Francisco Cândido Farina', 'M', 5, '02/04/1995', 10, 13, 7, NULL, 17000);"
1;ACME Corporation;000012;TRUE;332;Rodrigo;26;Azeredo Madureira;Rodrigo Azeredo Madureira;M;Male;5;White;18/11/1980;8;Graduate school;14;Information Technology;7;Director;;;€ 16.120,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 12, TRUE, 'Rodrigo Azeredo Madureira', 'M', 5, '18/11/1980', 8, 14, 7, NULL, 16120);"
1;ACME Corporation;000013;TRUE;207;Kamille;58;Cardoso Caruso;Kamille Cardoso Caruso;F;Female;5;White;30/10/1985;9;Master’s degree;15;Juridical;7;Director;;;€ 16.600,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 13, TRUE, 'Kamille Cardoso Caruso', 'F', 5, '30/10/1985', 9, 15, 7, NULL, 16600);"
1;ACME Corporation;000014;TRUE;142;Flaviano;119;Marino Alcantara;Flaviano Marino Alcantara;M;Male;5;White;27/05/1994;9;Master’s degree;16;Sales;7;Director;;;€ 16.610,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 14, TRUE, 'Flaviano Marino Alcantara', 'M', 5, '27/05/1994', 9, 16, 7, NULL, 16610);"
1;ACME Corporation;000015;TRUE;171;Íris;45;Braga Barreto;Íris Braga Barreto;F;Female;8;Asian;16/02/1993;7;Undergraduate degree;6;Administration;14;Manager;;;€ 12.500,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 15, TRUE, 'Íris Braga Barreto', 'F', 8, '16/02/1993', 7, 6, 14, NULL, 12500);"
1;ACME Corporation;000016;TRUE;187;João Guilherme;107;Leite Pinheiro;João Guilherme Leite Pinheiro;M;Male;5;White;06/05/1995;9;Master’s degree;7;Finance;14;Manager;;;€ 13.500,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 16, TRUE, 'João Guilherme Leite Pinheiro', 'M', 5, '06/05/1995', 9, 7, 14, NULL, 13500);"
1;ACME Corporation;000017;TRUE;227;Lia;73;de Oliveira Alcantara;Lia de Oliveira Alcantara;F;Female;6;Black or African American;27/04/1982;9;Master’s degree;8;Human Resource;14;Manager;;;€ 13.580,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 17, TRUE, 'Lia de Oliveira Alcantara', 'F', 6, '27/04/1982', 9, 8, 14, NULL, 13580);"
1;ACME Corporation;000018;TRUE;108;Davi Luccas;149;Pedroso Bicalho;Davi Luccas Pedroso Bicalho;M;Male;7;Hispanic or Latino;28/05/1994;9;Master’s degree;9;Commercial;14;Manager;;;€ 13.580,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 18, TRUE, 'Davi Luccas Pedroso Bicalho', 'M', 7, '28/05/1994', 9, 9, 14, NULL, 13580);"
1;ACME Corporation;000019;TRUE;68;Benício;5;Abranches Ricci;Benício Abranches Ricci;M;Male;5;White;05/07/1986;8;Graduate school;10;Operations;14;Manager;;;€ 13.000,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 19, TRUE, 'Benício Abranches Ricci', 'M', 5, '05/07/1986', 8, 10, 14, NULL, 13000);"
1;ACME Corporation;000020;TRUE;358;Vinícius;175;Santoro Nascimento;Vinícius Santoro Nascimento;M;Male;5;White;09/10/1996;8;Graduate school;11;Communication & Marketing;14;Manager;;;€ 13.080,00;"INSERT INTO bi4all.fac_employees (id_company_fk, id_employee_pk, flg_active, employee_name, id_gender_fk, id_race_fk, birthday, id_schooling_fk, id_department_fk, id_role_fk, id_level_fk, salary) VALUES (1, 20, TRUE, 'Vinícius Santoro Nascimento', 'M', 5, '09/10/1996', 8, 11, 14, NULL, 13080);"
