id_company_fk;company;id_employee_pk;id_employee_hash;flg_active;id_name_pk;name;id_lastname_pk;lastname;employee_name;employee_name_hash;id_country_fk;country;id_states_fk;states;id_sufix_gender;gender;id_marital_status_fk;marital_status;id_race_fk;ethnicity;birthday;id_background_education_fk;background_education;id_department_fk;department;id_role_fk;role;id_level_fk;level;date_of_hire;id_recruitment_source_fk;recruitment_source;date_of_fire;id_reason_dimissal_fk;reason_dimissal;satisfaction_grade;actual_salary;Queries
5;ACME Corporation;000001;#NAME?;1;127;Enzo;0;de Orléans e Bragança;Enzo de Orléans e Bragança;#NAME?;5;Portugal;7; Setúbal ;M;Male;6;MarrieD;5; white;03/01/1978;10;Doctorate;5; Presidency;5;CEO;#N/A;#N/A;01/01/1999;9;Empregos Online;#N/A;#N/A;#N/A;5;€ 29.000,00;#REF!
5;ACME Corporation;000002;#NAME?;1;72;Bernnardo;158;Rangel Brasil;Bernnardo Rangel Brasil;#NAME?;5;Portugal;14;Madeira;M;Male;8; Separated ;5; white;09/07/1953;10;Doctorate;5; Presidency;6;Vice President;#N/A;#N/A;01/01/1999;7;SAPO Emprego;#N/A;#N/A;#N/A;4;€ 25.000,00;#REF!
5;ACME Corporation;000003;#NAME?;1;13;Alessandra;134;Morato Arruda;Alessandra Morato Arruda;#NAME?;5;Portugal;20;Portalegre;F;Female;9;DIVORCED;5; white;13/03/1991;7;Undergraduate degree;5; Presidency;8;Bilingual Secretary;#N/A;#N/A;01/01/1999;10;Jobs in Lisbon;#N/A;#N/A;#N/A;5;€ 8.500,00;#REF!
5;ACME Corporation;000004;#NAME?;1;308;Noah;115;Madureira Gomes;Noah Madureira Gomes;#NAME?;5;Portugal;7; Setúbal ;M;Male;6;MarrieD;5; white;30/05/1989;10;Doctorate;6;Administration;7;Director;#N/A;#N/A;01/01/1999;15;Website;#N/A;#N/A;#N/A;5;€ 17.000,00;#REF!
5;ACME Corporation;000005;#NAME?;1;217;Lara;27;Bactista Pasquim;Lara Bactista Pasquim;#NAME?;5;Portugal;15; ÉVORA;F;Female;8; Separated ;5; white;01/12/1994;9;Master’s degree;10;Operations;7;Director;#N/A;#N/A;01/01/1999;5;Indeed;#N/A;#N/A;#N/A;4;€ 16.500,00;#REF!
5;ACME Corporation;000006;#NAME?;1;196;Jonathan;29;Bandeira Pinheiro;Jonathan Bandeira Pinheiro;#NAME?;5;Portugal;18;Castelo Branco;M;Male;9;DIVORCED;5; white;17/03/1986;8;Graduate school;8;Human Resource;7;Director;#N/A;#N/A;01/01/1999;13;Google;#N/A;#N/A;#N/A;5;€ 16.080,00;#REF!
5;ACME Corporation;000007;#NAME?;1;267;Maria Heloísa;146;Paulista Borges;Maria Heloísa Paulista Borges;#NAME?;5;Portugal;24;Brangança;F;Female;6;MarrieD;5; white;07/03/1995;9;Master’s degree;6;Administration;7;Director;#N/A;#N/A;01/01/1999;13;Google;#N/A;#N/A;#N/A;5;€ 16.500,00;#REF!
5;ACME Corporation;000008;#NAME?;1;24;Ammanda;121;Martinelli Faro;Ammanda Martinelli Faro;#NAME?;5;Portugal;7; Setúbal ;F;Female;7;Widowed ;5; white;09/05/1998;10;Doctorate;7;Finance;7;Director;#N/A;#N/A;01/01/1999;5;Indeed;#N/A;#N/A;#N/A;5;€ 17.000,00;#REF!
5;ACME Corporation;000009;#NAME?;1;327;Raquel;133;Morais Figo;Raquel Morais Figo;#NAME?;5;Portugal;8;AveirO;F;Female;5;single;5; white;28/12/1978;10;Doctorate;8;Human Resource;7;Director;#N/A;#N/A;01/01/1999;9;Empregos Online;#N/A;#N/A;#N/A;4;€ 17.080,00;#REF!
5;ACME Corporation;000010;#NAME?;1;198;José Emanuel;179;Serra Furtado;José Emanuel Serra Furtado;#NAME?;5;Portugal;10;Faro;M;Male;7;Widowed ;5; white;18/06/1992;9;Master’s degree;9; Commercial;7;Director;#N/A;#N/A;01/01/1999;6;Learn4Good;#N/A;#N/A;#N/A;5;€ 16.580,00;#REF!
